producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva,producto,simples,destacados,supertestacados,idproducto,precio_sin_iva,precio_con_iva,idps,semestral_sin_iva,semestral_con_iva,idpa,anual_sin_iva,anual_con_iva
5 Avisos Subsimples Combo Suscrip,0,0,0,10699,810,939.6,-,-,-,-,-,-,,,,,,,,,,,,,
10 subsimples combo,0,0,0,10418,1620,1879.2,-,-,-,-,-,-,,,,,,,,,,,,,
Aviso Simple Combo,1,0,0,8603,1362.42,1580.41,8600,-,-,8601,-,-,,,,,,,,,,,,,
Aviso Destacado Combo,0,1,0,8599,3087.72,3581.76,8596,-,-,8597,-,-,,,,,,,,,,,,,
Aviso Superdestacado Combo,0,0,1,8607,4257.36,4938.54,8604,-,-,8605,-,-,,,,,,,,,,,,,
5 Avisos Simples Combo,5,0,0,8635,2478.6,2875.18,8632,-,-,8633,-,-,,,,,,,,,,,,,
5 Avisos Destacados Combo,0,5,0,8631,4009.5,4651.02,8628,-,-,8629,-,-,,,,,,,,,,,,,
5 Avisos Superdestacados Combo,0,0,5,8639,8019,9302.04,8636,-,-,8637,-,-,,,,,,,,,,,,,
10 Avisos Simples Combo,10,0,0,8611,3681.45,4270.48,8608,-,-,8609,-,-,,,,,,,,,,,,,
10 Avisos Destacados Combo Mensual,0,10,0,8652,7371,8550.36,8666,-,-,8673,-,-,,,,,,,,,,,,,
10 Avisos Superdestacados Combo,0,0,10,8656,14807.61,17176.83,8670,88845.66,103060.97,8677,177691.32,206121.93,,,,,,,,,,,,,
30 Avisos Simples Combo,30,0,0,8858,6583.5,7636.86,8860,-,-,8861,-,-,,,,,,,,,,,,,
25 Avisos Destacados Combo Mensual,0,25,0,8653,16245,18844.2,8667,-,-,8674,-,-,,,,,,,,,,,,,
25 Avisos Superdestacados Combo,0,0,25,8658,32543.87,37750.88,8672,195263.19,226505.3,8679,390526.38,453010.6,,,,,,,,,,,,,
50 Avisos Simples Combo,50,0,0,8643,8707.5,10100.7,8640,-,-,8641,-,-,,,,,,,,,,,,,
50 Avisos Destacados Combo,0,50,0,20220,25297.2,29344.75,20224,151783.2,176068.51,20228,303566.4,352137.02,,,,,,,,,,,,,
50 Avisos Superdestacados Combo,0,0,50,20221,45057.6,52266.82,20225,270345.6,313600.9,20229,540691.2,627201.79,,,,,,,,,,,,,
80 Avisos Simples Combo,80,0,0,8651,11245.5,13044.78,8648,-,-,8649,-,-,,,,,,,,,,,,,
100 Avisos Simples Combo,100,0,0,8615,13891.5,16114.14,8612,83349,96684.84,8613,166698,193369.68,,,,,,,,,,,,,
100 Avisos Destacados Combo,0,100,0,20222,40839.12,47373.38,20226,245034.72,284240.28,20230,490069.44,568480.55,,,,,,,,,,,,,
100 Avisos Superdestacados Combo,0,0,100,20223,62817.93,72868.8,20227,376907.58,437212.79,20231,753815.16,874425.59,,,,,,,,,,,,,
200 Avisos Simples Combo,200,0,0,8619,24255,28135.8,8616,145530,168814.8,8617,291060,337629.6,,,,,,,,,,,,,
350 Avisos Simples Combo,350,0,0,8627,-,-,8624,-,-,8625,-,-,,,,,,,,,,,,,
500 Avisos Simples Combo,500,0,0,8647,58265.46,67587.93,8644,349592.76,405527.6,8645,699185.52,811055.2,,,,,,,,,,,,,
Pack Bolillo 5S + 1D Combo Mensual,5,1,0,20254,1389.96,1612.35,,-,-,,-,-,,,,,,,,,,,,,
Pack 10 Combo,5,5,0,8680,4657.5,5402.7,8708,-,-,8722,-,-,,,,,,,,,,,,,
Pack 15 Combo,10,5,0,8681,5531.49,6416.53,8709,-,-,8723,-,-,,,,,,,,,,,,,
Pack 30 Combo,20,10,0,8682,8141.31,9443.92,8710,-,-,8724,-,-,,,,,,,,,,,,,
Pack 50 Combo,35,15,0,8683,11401.2,13225.39,8711,-,-,8725,-,-,,,,,,,,,,,,,
Pack 80 Combo,60,15,5,8684,19989,23187.24,8712,119934,139123.44,8726,239868,278246.88,,,,,,,,,,,,,
